order_id,items
420,"9176,4797,2044,5996,518,1337,10446,18206,17024,29261,27095,2778,5485,11315,6099,28613,8249,19717,21933,643,18177,21015,7612,2419,416,10678,5228,723,12959,13155,4459,7263,554,13049,11710,2561,21964,10187,4112,18728,7109,13241,7471,625,1475,20987,7245,29332,2586,7539"
421,9698
422,11198
423,16002
424,18713
425,2859
426,820
427,8812
428,"18398,2806,28610"
429,6990
430,17564
431,2423
432,"1622,3617"
433,1314
434,"13838,1182,8664,6911,28602,17585,4550,7451,11535,1120,2447,11949,7298,8289,9095,3178,5137,2228,658,5440,18340,3622,1991,565,559,5576,11329,9632,13108,21946,18558,14154,7948,10965,27404,13468,1306,627,17654,992,1402,3540,1642,9467,29168,1909,9287,882,8252,3774,5429,17460,2853,536,18875,10135,657,10765,2340,17586,1783,20364,10723,13149,1031,20594"
435,120
436,8153
437,5023
438,"19707,7329,19531,11924,4106,13057,11125,4922,4,8940,19363,9704,1609,5216,3805,29265,12344,4206,2038,3000,1117,19858,5571,791,6769,27434,11953,8356,12404,4035,9223,9861,17885,1178,1241,7495,3101,28871,14747,3621,21108,9398,11267,12332,5881,4964,7448,26972,20267,5261,6826,974"
439,17445
440,19959
441,12222
442,"18938,267,5638,5566,2459,7794,2121,4631,1518,19291,14875,17443,13273,3077"
443,17815
444,19372
445,"6075,8920,9020,13296,5743,11378,7074,3067,2379,2914,2761,18619,11830,11414,2097,1259,2631,9705,4429,15998,7713,7810,7381"
446,4204
447,"21728,19617,2327,17685,27408,1429,17673,14113,4000,16753,27043,1524,28773,3555,6703,3292,6475,9867,3269,882,9661,10363,3308,16241,3403,8345,8315,4423,14913,29299,21803,5226,7666,13429,20431,5050,9420,3313,20137,10729,1119,616,494,4496,8517,12940,1901,4091,11556,18271,946,939,4941,13203,590,3463,18196,2159,1484,64,7986,19753,17673,169,6054,4596"
448,2859
449,"3533,992"
450,9750
451,"7772,18282,5263,7689,4242,7883,4958,20024,1502,8592,7948,3025,6202,9485,19227,13346,11525,1272,649,2382,4378,28842,456,4355,19887,8153,3047,17312,11710,5456,11309,2115,5326"
452,19006
453,"18666,1491"
454,7132
455,"19798,7356,29172,5264,12129,11081,11789,7356,3456,7077"
456,958
457,3327
458,3264
459,637
460,11934
461,9735
462,11081
463,"7087,3927,9302,17877"
464,560
465,8465
466,2993
467,"7115,1608,7023,3547,3604,2108,2521,18195,2023"
468,"4961,12193,5562,3731"
469,516
470,19359
471,"13091,21964,8,5247,1275,11891,577,3403,14084,4412,7803,10956,11820,8025"
472,9559
473,4961
474,3583
475,10013
476,"11949,4630,9454,563,422"
477,3269
478,"627,10965,12998,11400,3669,3425,12067,20351"
479,5558
480,"1245,11908,5263,6787,9468"
481,29300
482,"4040,2678,3725,1582"
483,"18103,7725"
484,7481
485,"170,1895,12054,1133,7154,29299,8177,13973"
486,11059
487,919
488,14793
489,"1941,7437,1339"
490,6067
491,19583
492,9679
493,6305
494,19130
495,12397
496,"27392,2419,4958,5372,29339,3554,20594,3955,13976,3260,11844,10482,9748,17359,9129,630,963,5262,27033,19117,3892,12476,3397,5326,19278,9550,14744,18938,4253,2824,6754,18563"
497,"18430,3642,3267,18535,4500,12098,416,1315,10634,21904,10082,13644,11118,5371"
498,"1755,1485,953,17534,17,4548,3626,2155,5394,1200,5228,9073,1569,1322,7335,28735,17888,10604,21933,29101,10602,7707,8056,18409,8055,2352"
499,"9373,3768,7344,5324,5324,1790,9781,7263,13271,2620,3726,11315,28878,1071,8121,12977"
500,"2632,1225"
501,11948
502,7415
503,1828
504,"2141,19183,2534"
505,2542
506,"17888,5409,19833,755"
507,16047
